Freq.	V(v1)	V(v2)
Step Information: X=100  (Run: 1/4)
3.16227766016839e+002	(-3.71558387198856e-002dB,-7.53172866176090e+000°)	(-4.05316689896321e-002dB,-9.82956135969222e+000°)
3.98107170553498e+002	(-5.88083268240078e-002dB,-9.47408922543706e+000°)	(-6.41512834313269e-002dB,-1.23666831539246e+001°)
5.01187233627274e+002	(-9.30166560924060e-002dB,-1.19116764188865e+001°)	(-1.01476444054397e-001dB,-1.55528254369686e+001°)
6.30957344480195e+002	(-1.46962754022510e-001dB,-1.49651786459463e+001°)	(-1.60360243623563e-001dB,-1.95482940723105e+001°)
7.94328234724284e+002	(-2.31790912019075e-001dB,-1.87792950508092e+001°)	(-2.53008753762867e-001dB,-2.45474615385995e+001°)
1.00000000000000e+003	(-3.64583650678025e-001dB,-2.35222949080723e+001°)	(-3.98182430473790e-001dB,-3.07807302453756e+001°)
1.25892541179417e+003	(-5.71028430944814e-001dB,-2.93799269265029e+001°)	(-6.24215894219288e-001dB,-3.85112722269635e+001°)
1.58489319246112e+003	(-8.88613407095859e-001dB,-3.65387305497192e+001°)	(-9.72762349542875e-001dB,-4.80215188197222e+001°)
1.99526231496889e+003	(-1.36956920204584e+000dB,-4.51523175919610e+001°)	(-1.50257797781031e+000dB,-5.95826948446788e+001°)
2.51188643150959e+003	(-2.08165192899169e+000dB,-5.52859247004816e+001°)	(-2.29157442759114e+000dB,-7.34020307814353e+001°)
3.16227766016839e+003	(-3.10361545661191e+000dB,-6.68446752814840e+001°)	(-3.43414397360770e+000dB,-8.95516894287909e+001°)
3.98107170553499e+003	(-4.51243599834726e+000dB,-7.95126322860016e+001°)	(-5.03094645235679e+000dB,-1.07903834778099e+002°)
5.01187233627274e+003	(-6.36340859520736e+000dB,-9.27508743795593e+001°)	(-7.17221962696914e+000dB,-1.28115604104883e+002°)
6.30957344480195e+003	(-8.67153152261181e+000dB,-1.05890518334124e+002°)	(-9.92245589714534e+000dB,-1.49693631049691e+002°)
7.94328234724284e+003	(-1.14058478996201e+001dB,-1.18294550259057e+002°)	(-1.33165037296861e+001dB,-1.72106226800684e+002°)
1.00000000000000e+004	(-1.45008333990520e+001dB,-1.29503147877064e+002°)	(-1.73681683855865e+001dB,1.65139871268188e+002°)
1.25892541179417e+004	(-1.78768882314109e+001dB,-1.39292182789753e+002°)	(-2.20798800919831e+001dB,1.42505350805987e+002°)
1.58489319246112e+004	(-2.14583108063583e+001dB,-1.47644722970361e+002°)	(-2.74414144897267e+001dB,1.20456338373362e+002°)
1.99526231496889e+004	(-2.51829245754601e+001dB,-1.54682198958632e+002°)	(-3.34189334166298e+001dB,9.94347601761303e+001°)
2.51188643150959e+004	(-2.90042097227231e+001dB,-1.60598643315761e+002°)	(-3.99475635708583e+001dB,7.97156007834278e+001°)
3.16227766016839e+004	(-3.28893370877639e+001dB,-1.65617294493200e+002°)	(-4.69362058772952e+001dB,6.11907704546366e+001°)
3.98107170553499e+004	(-3.68158915626286e+001dB,-1.69971251550427e+002°)	(-5.42739317763508e+001dB,4.31161807247711e+001°)
5.01187233627274e+004	(-4.07686300395938e+001dB,-1.73904694965658e+002°)	(-6.17996569090305e+001dB,2.37878241890321e+001°)
6.30957344480196e+004	(-4.47364576631217e+001dB,-1.77694167832336e+002°)	(-6.91445846780036e+001dB,3.72411849732698e-001°)
7.94328234724285e+004	(-4.87088009200393e+001dB,1.78303397532647e+002°)	(-7.54212549066896e+001dB,-2.90432419156506e+001°)
1.00000000000000e+005	(-5.26686477972290e+001dB,1.73559274662178e+002°)	(-7.96925251026729e+001dB,-5.97568904477392e+001°)
Step Information: X=1K  (Run: 2/4)
1.00000000000000e-002	(-1.26720102118943e-005dB,-2.38510285200336e-004°)	(-2.43415965393123e-005dB,-9.59189915708445e-004°)
1.25892541179417e-002	(-1.26720319777613e-005dB,-3.00266659012729e-004°)	(-2.43418185040089e-005dB,-1.20754855961488e-003°)
1.58489319246111e-002	(-1.26720664775911e-005dB,-3.78013327345165e-004°)	(-2.43421702877973e-005dB,-1.52021356766028e-003°)
1.99526231496888e-002	(-1.26721211704675e-005dB,-4.75890583790710e-004°)	(-2.43427278461431e-005dB,-1.91383549165320e-003°)
2.51188643150958e-002	(-1.26722078395250e-005dB,-5.99110749165720e-004°)	(-2.43436115100937e-005dB,-2.40937613437872e-003°)
3.16227766016838e-002	(-1.26723452023870e-005dB,-7.54235746599843e-004°)	(-2.43450120202992e-005dB,-3.03322484202590e-003°)
3.98107170553497e-002	(-1.26725629073448e-005dB,-9.49526547870261e-004°)	(-2.43472316701599e-005dB,-3.81860383308454e-003°)
5.01187233627273e-002	(-1.26729079471088e-005dB,-1.19538310027144e-003°)	(-2.43507495909786e-005dB,-4.80733740259141e-003°)
6.30957344480194e-002	(-1.26734548016194e-005dB,-1.50489816172985e-003°)	(-2.43563251098340e-005dB,-6.05207921828637e-003°)
7.94328234724282e-002	(-1.26743215056952e-005dB,-1.89455453790187e-003°)	(-2.43651617213917e-005dB,-7.61911632028731e-003°)
1.00000000000000e-001	(-1.26756951362448e-005dB,-2.38510285167056e-003°)	(-2.43791667916689e-005dB,-9.59189914742437e-003°)
1.25892541179417e-001	(-1.26778721973960e-005dB,-3.00266658946327e-003°)	(-2.44013633463197e-005dB,-1.20754855768744e-002°)
1.58489319246111e-001	(-1.26813226075743e-005dB,-3.78013327212676e-003°)	(-2.44365425113958e-005dB,-1.52021356381454e-002°)
1.99526231496888e-001	(-1.26867911353292e-005dB,-4.75890583526359e-003°)	(-2.44922977315198e-005dB,-1.91383548397992e-002°)
2.51188643150958e-001	(-1.26954581732113e-005dB,-5.99110748638270e-003°)	(-2.45806637977751e-005dB,-2.40937611906853e-002°)
3.16227766016838e-001	(-1.27091944980371e-005dB,-7.54235745547442e-003°)	(-2.47207145706130e-005dB,-3.03322481147805e-002°)
3.98107170553498e-001	(-1.27309651086935e-005dB,-9.49526545770444e-003°)	(-2.49426800898283e-005dB,-3.81860377213357e-002°)
5.01187233627273e-001	(-1.27654692020700e-005dB,-1.19538309608176e-002°)	(-2.52944717139579e-005dB,-4.80733728097822e-002°)
6.30957344480194e-001	(-1.28201544986268e-005dB,-1.50489815337033e-002°)	(-2.58520238369034e-005dB,-6.05207897563616e-002°)
7.94328234724282e-001	(-1.29068248560236e-005dB,-1.89455452122243e-002°)	(-2.67356843465134e-005dB,-7.61911583613653e-002°)
1.00000000000000e+000	(-1.30441881134233e-005dB,-2.38510281839071e-002°)	(-2.81361917351619e-005dB,-9.59189818141665e-002°)
1.25892541179417e+000	(-1.32618942057667e-005dB,-3.00266652306124e-002°)	(-3.03558459762855e-005dB,-1.20754836494359e-001°)
1.58489319246112e+000	(-1.36069350906085e-005dB,-3.78013313963729e-002°)	(-3.38737599180267e-005dB,-1.52021317924007e-001°)
1.99526231496888e+000	(-1.41537880127845e-005dB,-4.75890557091236e-002°)	(-3.94492753893531e-005dB,-1.91383471665323e-001°)
2.51188643150958e+000	(-1.50204914164069e-005dB,-5.99110695893269e-002°)	(-4.82858659162684e-005dB,-2.40937458805132e-001°)
3.16227766016838e+000	(-1.63941235767088e-005dB,-7.54235640307339e-002°)	(-6.22909030531280e-005dB,-3.03322175669968e-001°)
