f,a,p
1.00000000000000e-002	,-4.35727254370401e-005 ,-1.44074802482178e-001  
1.25892541179417e-002	,-5.15954035405857e-005 ,-1.81379374228917e-001  
1.58489319246111e-002	,-6.43104762750367e-005 ,-2.28342992026459e-001  
1.99526231496888e-002	,-8.44624703694376e-005 ,-2.87466573064045e-001  
2.51188643150958e-002	,-1.16401132855385e-004 ,-3.61898530519679e-001  
3.16227766016838e-002	,-1.67020261033681e-004 ,-4.55602371963634e-001  
3.98107170553497e-002	,-2.47245568430933e-004 ,-5.73567638748507e-001  
5.01187233627273e-002	,-3.74392594155080e-004 ,-7.22075354235264e-001  
6.30957344480194e-002	,-5.75903237230365e-004 ,-9.09031986384634e-001  
7.94328234724282e-002	,-8.95266507675884e-004 ,-1.14438944900130e+000  
1.00000000000000e-001	,-1.40139912905758e-003 ,-1.44067298876438e+000  
1.25892541179417e-001	,-2.20350486717033e-003 ,-1.81364403405011e+000  
1.58489319246111e-001	,-3.47460508313589e-003 ,-2.28313123954767e+000  
1.99526231496888e-001	,-5.48878220859994e-003 ,-2.87406986801013e+000  
2.51188643150958e-001	,-8.68008138620143e-003 ,-3.61779666766786e+000  
3.16227766016838e-001	,-1.37355491582462e-002 ,-4.55365291252624e+000  
3.98107170553498e-001	,-2.17419031745348e-002 ,-5.73094864798856e+000  
5.01187233627273e-001	,-3.44160213201219e-002 ,-7.21132880428676e+000  
6.30957344480194e-001	,-5.44653392374373e-002 ,-9.07154134916162e+000  
7.94328234724282e-001	,-8.61468715761922e-002 ,-1.14065092734016e+001  
1.00000000000000e+000	,-1.36123201695106e-001 ,-1.43323968005762e+001  
1.25892541179417e+000	,-2.14745997065754e-001 ,-1.79889405696006e+001  
1.58489319246112e+000	,-3.37915020975597e-001 ,-2.25395440065802e+001  
1.99526231496888e+000	,-5.29616086736797e-001 ,-2.81663465967775e+001  
2.51188643150958e+000	,-8.25032357275100e-001 ,-3.50556815619123e+001  
3.16227766016838e+000	,-1.27357931414716e+000 ,-4.33677224900285e+001  
3.98107170553498e+000	,-1.94018742756016e+000 ,-5.31850997278852e+001  
5.01187233627273e+000	,-2.90190398473828e+000 ,-6.44436004337277e+001  
6.30957344480194e+000	,-4.23673927269082e+000 ,-7.68675520754104e+001  
7.94328234724283e+000	,-6.00493160049500e+000 ,-8.99546092997276e+001  
1.00000000000000e+001	,-8.22962647533871e+000 ,-1.03050151678676e+002  
1.25892541179417e+001	,-1.08883718980462e+001 ,-1.15498410678777e+002  
1.58489319246112e+001	,-1.39213770843603e+001 ,-1.26794317551551e+002  
1.99526231496888e+001	,-1.72507523250012e+001 ,-1.36659426358305e+002  
2.51188643150959e+001	,-2.07993270161926e+001 ,-1.45027920691883e+002  
3.16227766016839e+001	,-2.45019387574264e+001 ,-1.51982453899879e+002  
3.98107170553498e+001	,-2.83089329323503e+001 ,-1.57684777608776e+002  
5.01187233627273e+001	,-3.21849286608533e+001 ,-1.62324141556340e+002  
6.30957344480195e+001	,-3.61057960157651e+001 ,-1.66086803914788e+002  
7.94328234724284e+001	,-4.00555403405286e+001 ,-1.69141501460655e+002  
1.00000000000000e+002	,-4.40237559051039e+001 ,-1.71634678327237e+002  
1.25892541179417e+002	,-4.80037604455222e+001 ,-1.73690873280482e+002  
1.58489319246112e+002	,-5.19913095857277e+001 ,-1.75415475423551e+002  
1.99526231496889e+002	,-5.59837444673384e+001 ,-1.76898363529208e+002  
2.51188643150959e+002	,-5.99794435568035e+001 ,-1.78217739779433e+002  
3.16227766016839e+002	,-6.39774829149346e+001 ,-1.79443920448366e+002  
3.98107170553498e+002	,-6.79774407376751e+001 ,1.79356890137272e+002  
5.01187233627274e+002	,-7.19793074966996e+001 ,1.78118623558819e+002  
6.30957344480195e+002	,-7.59834831672705e+001 ,1.76770732717450e+002  
7.94328234724284e+002	,-7.99908595588135e+001 ,1.75232148129720e+002  
1.00000000000000e+003	,-8.40029989609739e+001 ,1.73402347109292e+002  
1.25892541179417e+003	,-8.80224234622576e+001 ,1.71146768535112e+002  
1.58489319246112e+003	,-9.20529876434638e+001 ,1.68271217717360e+002  
1.99526231496889e+003	,-9.61000754420567e+001 ,1.64474827855260e+002  
2.51188643150959e+003	,-1.00169361232738e+002 ,1.59261601799596e+002  
3.16227766016839e+003	,-1.04258887470610e+002 ,1.51776056927911e+002  
3.98107170553499e+003	,-1.08324640898806e+002 ,1.40533739659120e+002  
5.01187233627274e+003	,-1.12160658562530e+002 ,1.23250231379407e+002  
6.30957344480195e+003	,-1.15160257605929e+002 ,9.82205973644022e+001  
7.94328234724284e+003	,-1.16554060191837e+002 ,6.89268064896188e+001  
1.00000000000000e+004	,-1.16599333755874e+002 ,4.25425242538913e+001  
1.25892541179417e+004	,-1.16263424022357e+002 ,2.10965414701822e+001  
1.58489319246112e+004	,-1.16131196412822e+002 ,3.06882584695642e+000  
1.99526231496889e+004	,-1.16398400366105e+002 ,-1.27642523322190e+001  
2.51188643150959e+004	,-1.17086615064998e+002 ,-2.68386943079038e+001  
3.16227766016839e+004	,-1.18143738845257e+002 ,-3.92392162852828e+001  
3.98107170553499e+004	,-1.19491143371744e+002 ,-5.00213445296551e+001  
5.01187233627274e+004	,-1.21050013592589e+002 ,-5.93304647026688e+001  
6.30957344480196e+004	,-1.22753654838312e+002 ,-6.74095880242050e+001  
7.94328234724285e+004	,-1.24549909321309e+002 ,-7.45798394254306e+001  
1.00000000000000e+005	,-1.26397744125699e+002 ,-8.12394729863803e+001  
